,ID,VALUE_PER_UNIT,YEAR_INDEX,LONGITUDE,LATITUDE,PROVINCE_NB,PROVINCE_NL,PROVINCE_NS,PROVINCE_ON,PROVINCE_PE,PROVINCE_QC,SOIL_TEXTURE_CLAY_LOAM,SOIL_TEXTURE_GRAVELLY_LOAM,SOIL_TEXTURE_HEAVY_CLAY,SOIL_TEXTURE_LIGHT_LOAM,SOIL_TEXTURE_LOAM,SOIL_TEXTURE_MUCK,SOIL_TEXTURE_SANDY,SOIL_TEXTURE_SANDY_CLAY,SOIL_TEXTURE_SANDY_LOAM,SOIL_TEXTURE_SILT,SOIL_TEXTURE_SILTY_LOAM,SOIL_TEXTURE_SILT_CLAY,TILE_DRAINAGE_yes,IRRIGATION_OTHER,IRRIGATION_PIVOT
1,2,1.2896418457767256,4,-78.99291600000001,44.397357,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,4.2043,6,-73.97677,45.193220000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,14,2.9687214284655266,4,-81.92720600000001,42.42007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,15,4.173606203328013,5,-80.96448000000001,42.78887,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,1.1174095471550782,3,-98.97290500000001,49.484262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,35,4.367089545968973,5,-81.27924200000001,43.438976000000004,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,3.2113786985465276,4,-82.186605,42.957938,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,40,0.6345000000000001,6,-76.658564,45.801699,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,43,1.3099,4,-75.021788,45.604329,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,44,4.529190532906995,5,-80.524096,43.177820000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,53,0.8344741355025872,5,-99.00284,50.354639,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,55,2.1263399277464505,5,-80.46634399999999,44.098105,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
